content,contentTranslation,languageInEnglish,preprocessed
"&#12296;:stria 1&#12297;
X 
 
&#12296;:stria 2&#12297;
O 
 
&#12296;:stria 8&#12297;
A 
 
&#12296;:stria 12&#12297;
M 
 
&#12296;:stria 14&#12297;
X
 
&#12296;:stria 20&#12297;
 X",(Individual letters),Latin,", x , , , o , , , a , , , m , , , x, , , x"
Licaria (:Ligaria),??,Latin,ligaria
"Mansuetus provocator
victor Veneri par=
mam (:palmam) feret",,Latin,"mansuetus provocator, victor veneri par=, palmam feret"
R,R,Latin,r
Conti(cuere),,Latin,conticuere
A(ulum) Treb[ium aed(ilem)] d(ignum) r(ei) p(ublicae),,Latin,aulum trebium aedilem dignum rei publicae
"Eulymen&#803;
",Eulymen(us),Latin,"eulymeṇ, "
+ scripsi Venerem Poppae[ae] Triquinias,,Latin, scripsi venerem poppaeae triquinias
LVIIII,59,Latin,lviiii
[- - -]ius cum Fronto[ne],? with Fronto,Latin,polybius cum frontone
C(aius) Vinif&#803;(---?),,Latin,caius vinif̣
"&#12296;:stria 10&#12297;
V

&#12296;:stria 12&#12297;
R 

&#12296;:striae 15-16&#12297;
SSS 

&#12296;:stria 17&#12297;
R",(Individual letters),Latin,", v, , , r , , , sss , , , r"
"VI
",6,Latin,"vi, "
Clavos LXXXVII,87 nails,Latin,clavos lxxxvii
Aedilem Proculam (:Proculum) [[CR]] cunctorum turba probavit. Hoc pudor ingenuus postulat et pietas,,Latin,aedilem proculum cr cunctorum turba probavit. hoc pudor ingenuus postulat et pietas
"silig
habi (:habenam)
col (:coliculum)
bet (:betam)
men (:mentam)
coeloe(?)","wheat flour
HABI (?)
cabbage
beetroot
mint
(unrecognizable word)",Latin,"silig, habenam, coliculum, betam, mentam, coeloe"
"IIIIIIIIIIIIIIIIIIIIIIIII

&#12296;:pone hanc?&#12297;
IIIIIIIIIIIIIIIIIIIIIII

&#12296;:infra?&#12297;
IIIIIIIIIIIIIIIIIIIIIIIIIIIII","25

23

29",Latin,"iiiiiiiiiiiiiiiiiiiiiiiii, , , iiiiiiiiiiiiiiiiiiiiiii, , , iiiiiiiiiiiiiiiiiiiiiiiiiiiii"
Fortu&#7751;(atus?),Fortun(atus?),Latin,fortuṇatus
"Genialis cum&#803;
Thelone
",Genialis with Thelon,Latin,"genialis cuṃ, thelone, "
"Oliva condita
XVII K(alendas) Novembres",,Latin,"oliva condita, xvii kalendas novembres"
Victor va&#803;(le),,Latin,victor vạle
"Iucudus (:Iucundus)
male cala",,Latin,"iucundus, male cala"
"IOCHV
TIYS",,Latin,"iochv, tiys"
"&#12296;:textus in tabula ansata&#12297;

Aug(usto)
feli=
citer",,Latin,", , augusto, feli=, citer"
Mam&#803;,,Latin,maṃ
"&#12296;:stria 11&#12297;
A

&#12296;:stria 12&#12297;
A",(Individual letters),Latin,", a, , , a"
Luca (:Lucanica),Lucanian (sausage),Latin,lucanica
"Moram si quaeres,
sparge miliu (:milium) et col=
lige","If you want to waste time, scatter millet and pick it up",Latin,"moram si quaeres,, sparge milium et col=, lige"
"quis (:quisquis) amat valeat pereat qui 
nescit amare bis tanto pereat 
quisquis amare vetat 
",,Latin,"quisquis amat valeat pereat qui , nescit amare bis tanto pereat , quisquis amare vetat , "
S P R,,Latin,s p r
SER,,Latin,ser
Floronius,,Latin,floronius
"C&#818;a&#818;l&#818;os (:&#954;&#945;&#955;&#972;&#962;?) Paris isse (:ipse)
S&#818;eptentrio&#818;",,Latin/Greek,"c̲a̲l̲os καλός paris ipse, s̲eptentrio̲"
&#924;&#959;&#955;&#945; &#966;&#959;&#965;&#964;&#959;&#965;&#964;&#961;&#953;&#962;,,Latin/Greek,μολα φουτουτρις
"V&#7865;&#7789;&#7789;&#7883;us 
cu[n]num 
liget (:lingit) Opt=
&#12296;:vacat&#12297;atus (:Optatus)",,Latin,"vẹṭṭịus , cunnum , lingit opt=, optatus"
"Floronius
binet ac miles
leg(ionis) VII hic
fuit neque
mulieres
scierunt nisi
paucae et
ses erunt","Floronius . . ., soldier of the 7th legion, was here, and women didn't know, except for a few – and there were six!",Latin,"floronius, binet ac miles, legionis vii hic, fuit neque, mulieres, scierunt nisi, paucae et, ses erunt"
[---] I I I I I I I        I I I I I I I I I I I I       X I I I I I · X [---]       X X        I I I I I I I I,,Latin,i i i i i i i i    i i i i i i i i i i i i    x i i i i i · x x    x x    i i i i i i i i
"&#12296;:stria 14&#12297;
Ocea

&#12296;:stria 16&#12297;
Ocea[n]o","Ocea(nus), to Oceanus",Latin,", ocea, , , oceano"
contìquere,,Latin,contìquere
"((:corona)) ((:palma))
Chloe va(le)","Bye, Chloe!",Latin,"corona palma, chloe vale"
VIII ((semis)) ((quadrans)),"8 3/4 asses (?) = 8 asses, 1/2 as (semis), 1/4 as (quadrans)",Latin,viii semis quadrans
"VII
N",(Incomprehensible series of letters),Latin,"vii, n"
"&#7778;[ol]&#7735;emnes
&#7685;[e]ne futues",,Latin,"ṣolḷemnes, ḅene futues"
"Pacatus 
hic cum suis 
masit (:mansit) Pompeis",Pacatus stayed here in Pompeii with his (friends),Latin,"pacatus , hic cum suis , mansit pompeis"
"Unus amat una(m).
Sa(lutem). Sal(utem).",,Latin,"unus amat unam., salutem. salutem."
&#12296;:textus non legitur&#12297;,(incomprehensible series of characters),Latin,
"Hiic (:Hic) venatio pugnabiit (:pugnabit) V K(alendis) Septembriis (:Septembris)
et Felix ad ursos pugnabiit (:pugnabit)",,Latin,"hic venatio pugnabit v kalendis septembris, et felix ad ursos pugnabit"
Commun(em?),,Latin,communem
"ACP  VI
&#12296;:vacat&#12297; VII","ACP 6, 6",Latin,"acp vi, vii"
"&#12296;:columna 1&#12297;
CV
MM
    
&#12296;:columna 2&#12297;
huc co[nveniunt]
Prim(us)
[F]ortuna[tus]
Felix",,Latin,", cv, mm,   , , huc conveniunt, primus, fortunatus, felix"
Dos I a(ssis),Give (Greek imperative!) one as (small coin),Latin,dos i assis
"&#12296;:ad perpendiculum&#12297;
PVB",PVB,Latin,", pvb"
"Atilius a(ssem) I
Atilius a(ssem) I
Atilius a(ssem) I","Atilius 1 as (small coin), Atilius 1 as, Atilius 1 as",Latin,"atilius assem i, atilius assem i, atilius assem i"
"Synethus
Faustillam
futuit
obiq&#770;ûe (:ubique) rite",,Latin,"synethus, faustillam, futuit, obiq̂ubique rite"
"Dorcas 
+7?+",Dorcas (...other letters here...),Latin,"dorcas , 7"
Acan[th]u&#818;s&#818; h&#818;i&#818;c&#818;,Acanthus (was) here,Latin,acanthu̲s̲ h̲i̲c̲
Euce (:Euche) issa (:ipsa),,Latin,euche ipsa
"ROTVIIIII
ROT&#803;V   
RO&#803;
",(Repetition of letters in a series),Latin,"rotviiiii, roṭv  , rọ, "
IOLO,(incomprehensible series of letters),Latin,iolo
v&#770;a(le),goodbye,Latin,v̂ale
M(anio) Aemilio,To Manius Aemilius,Latin,manio aemilio
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,
Samatissa,Samatissa,Latin,samatissa
"Pan[em? ---]
PVRTARIVM+ 
X","Bread? Porridge, 10",Latin,"panem , pvrtarivm , x"
((:casulae frons cui et ad d. et ad sin. palma adiecta est et cuius portam quadrupes petit qui cornibus longis in cervi modum praeditus esse videtur)),,Latin,casulae frons cui et ad d. et ad sin. palma adiecta est et cuius portam quadrupes petit qui cornibus longis in cervi modum praeditus esse videtur
"Posphorus (:Phosphorus)
hic futuit",,Latin,"phosphorus, hic futuit"
"Pompeianis
fel(iciter) feliciter.
Faustin`u´m viginti
rogamus.",,Latin,"pompeianis, feliciter feliciter., faustin`u´m viginti, rogamus."
"Puteolanis feliciter
omnibus Nucherinis
felicia et uncu(m) Pompeianis
Petecusanis",,Latin,"puteolanis feliciter, omnibus nucherinis, felicia et uncum pompeianis, petecusanis"
Ursi me comib&#803;,May the bears (consume) me,Latin,ursi me comiḅ
"C(aius) Mateius
Abas (:Abascantus?)",Gaius Mateius Abas(cantus?),Latin,"caius mateius, abascantus"
"------
C&#803;e&#803;ac&#803;l&#818;i&#818; &#12296;:vacat&#12297; C
Sex &#12296;:vacat&#12297; C XXV C 
V&#770;&#818;a&#818;l&#818;e&#818;r&#818; &#12296;:vacat&#12297; XXV XXV
S&#818;e&#818;c&#818;[u&#818;]n&#818; &#12296;:vacat&#12297; LXXV LXXV
A&#818;m&#818;o&#818;n&#818; &#12296;:vacat&#12297; L &#12296;:vacat&#12297; XXV
S&#818;i&#818;t&#818;i&#818;o&#818; &#12296;:vacat&#12297; [- - -]
Scava &#12296;:vacat&#12297; L&#818;X&#818; [- - -]
Sedlatus (:Sedulatus) &#12296;:vacat&#12297; [- - -]
Ispanus (:Hispanus) &#12296;:vacat&#12297; [- - -]
Iut&#818;to &#12296;:vacat&#12297; L&#818; [- - -] L&#818; [- - -]","Of Caeclus(?) 100
 Sextus(?) 100 25 100
 Valerius(?) 25 25
 Secundus(?) 75 75
 Ammonius(?) 50 25
 Sitio
 Scava 60
 Sedulatus
 Hispanus
 Iutto 50 50",Latin,", c̣ẹac̣l̲i̲ c, sex c xxv c , v̲̂a̲l̲e̲r̲ xxv xxv, s̲e̲c̲u̲n̲ lxxv lxxv, a̲m̲o̲n̲ l xxv, s̲i̲t̲i̲o̲ , scava l̲x̲ xxv, sedulatus xxv, hispanus xxv, iut̲to l̲ , l̲ ."
"&#12296;:ad perpendiculum&#12297;
&#12296;:textus non legitur&#12297;",(Incomprehensible series of characters),Latin,", "
Receptus,Receptus,Latin,receptus
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,
"Mened(emerumenus)
&#12296;:vacat&#12297; Mened(emerumenus)
Menedimerume(nus) (:Menedemerumenus)
Menedeme(rumenus)
Menedemer(umenus)
Menedimeru(menus) (:Menedemerumenus)
R",(Variations on a word),Latin,"menedemerumenus, menedemerumenus, menedimerumenus menedemerumenus, menedemerumenus, menedemerumenus, menedimerumenus menedemerumenus, r"
Beronce (:Beronice),,Latin,beronice
Hic iudices,(The) judges (were) here,Latin,hic iudices
"ivenis (:iuvenis)
Mnester v&#770;a(le) LVII XVII 
XXI 
CXXXX ((:navis)) LXVII LXXX",,Latin,"iuvenis, mnester v̂ale lvii xvii , xxi , cxxxx navis lxvii lxxx"
"Pompeianis Paevoniam (:Paeoniam)
PO
((:figura hominis ad sin.))","A peony(?) for the Pompeians, PO",Latin,"pompeianis paeoniam, po, figura hominis ad sin."
Fortunata fellat,,Latin,fortunata fellat
Venimus,We came...,Latin,venimus
a(nte) d(iem) III K(alendas) Nov(embris),Three days before the Kalends of November,Latin,ante diem iii kalendas novembris
"Miximus in lecto. Fateor, peccavimus&#803;,
hospes. Si dices, 'quare?' Nulla matella fuit.","We peed in the bed. I admit it, we did wrong, host.
If you were to ask, Why? There was no chamber pot.",Latin,"miximus in lecto. fateor, peccavimuṣ,, hospes. si dices, 'quare' nulla matella fuit."
"&#12296;:vacat&#12297;B
Sentius
S","B, Sentius, S",Latin,"b, sentius, s"
Non sum no ces (:nocens),,Latin,non sum no nocens
Q(uinti) Hortessi (:Hortensi),,Latin,quinti hortensi
Fullones ul&#803;ulamque cano non arma virumq(ue),,Latin,fullones uḷulamque cano non arma virumque
"XVII K(alendas) Feb(ruarias)
IIVICII
Omn(es) XX",,Latin,"xvii kalendas februarias, iivicii, omnes xx"
((centuria)) Montani&#770;,The century (unit) of Montanus,Latin,centuria montanî
"Sabinus
de `q´suino",,Latin,"sabinus, de `q´suino"
Neptuna&#7735;&#7883;s,,Latin,neptunaḷịs
N voco,,Latin,n voco
P&#818;o&#818;mpeìanus,,Latin,p̲o̲mpeìanus
"pdic (:pedicat) Aplonia (:Apollonia) [---]A[---]
bene dat Nonius
futere[---]

",,Latin,"pedicat apollonia cypria,, bene dat nonius, futere,, , "
"&#12296;:in tabella ansata&#12297;
Ex scito
ordinis
primus OR
VI&#923;IANIO [- - -?]",,Latin,", ex scito, ordinis, primus or, viλianio ."
IIIXCVX,"3, 10, 100, 5, 10",Latin,iiixcvx
"Acti, va (:vale)","Actius, farewell",Latin,"acti, vale"
IIIIIIIIIIIIII Ì IIIIIIIIIIIIIIII,"31 (14, tall 1, 16)",Latin,iiiiiiiiiiiiii ì iiiiiiiiiiiiiiii
Nauplius,Nauplius,Latin,nauplius
"MAXIS
&#12296;:vacat&#12297;
M&#803; 
MAXI
MAXIS
&#12296;:proxima stria&#12297; MAXIS","MAXIS (?)
M
MAXI
MAXIS
MAXIS",Latin,"maxis, , ṃ , maxi, maxis, maxis"
VCVI,(Incomprehensible series of letters),Latin,vcvi
"a(nte) d(iem) XI K(alendas) Decembr(es) &#12296;:vacat&#12297; a(ssibus) XV
Epapra (:Epaphra) Acutus Auctus
ad locum duxserunt (:duxerunt)
mulierum Tychen pretium
in singulos a(sses) V f(uit?)
M(arco) Messalla L(ucio) Lentulo co(n)s(ulibus)","11 days before the Kalends of December, Epaphra, Acutus, and Auctus took the woman Tyche to (this?) place for 15 asses. The price was (?) 5 asses each. (Written) in the year when Marcus Messalla and Lucius Lentulus were consuls.",Latin,"ante diem xi kalendas decembres assibus xv, epaphra acutus auctus, ad locum duxerunt, mulierum tychen pretium, in singulos asses v fuit, marco messalla lucio lentulo consulibus"
"Valeri
va(le)
M&#770;A FI
IVS","Bye, Valerius (...other letters here...)",Latin,"valeri, vale, m̂a fi, ivs"
III IIIIII,3 6,Latin,iii iiiiii
"Primi[g]enius &#12296;:vacat&#12297; Mystes Communi suo salut&#7865; &#7807;&#7883;disti quo Turnum aequoribus eibat (:ibat) in arm[is]
SOES &#12296;:vacat&#12297; virtutis merces palma[m] pretium gloriae victoriae spem causas",,Latin,"primigenius mystes communi suo salutẹ ṿịdisti quo turnum aequoribus ibat in armis, soes virtutis merces palmam pretium gloriae victoriae spem causas"
IIIIIIIIIIIIIII,15,Latin,iiiiiiiiiiiiiii
CDFEG&#803;I&#803;I&#803;I&#803; DI&#803; CATVR,(beginning of an alphabet) (ending of a word),Latin,cdfeg̣ịịị dị catvr
"Acetabula
a(ssibus) II ((semis)) ((scripula?)) II
Acetabela (:acetabula) APTL",,Latin,"acetabula, assibus ii semis scripula ii, acetabula aptl"
Rufini cubiculum s,(This is) the bedroom of Rufinius,Latin,rufini cubiculum s
"E
B",(Individual letters),Latin,"e, b"
"Chloe 
&#12296;:vacat&#12297;A",Chloe,Latin,"chloe , a"
"DC NIOIVIDII
MAVINIM&#770;I SYH&#803;+CVS&#803;",(Incomprehensible series of letters),Latin,"dc nioividii, mavinim̂i syḥcvṣ"
"&#12296;:ad perpendiculum&#12297;
Liberalis",Liberalis,Latin,", liberalis"
"Murtis (:Myrtis) bene
felas (:fellas)",,Latin,"myrtis bene, fellas"
"Amicus ave 
Umbricia","Friend, greetings, Umbricia",Latin,"amicus ave , umbricia"
Euplus Euplus,"Euplus, Euplus",Latin,euplus euplus
"&#12296;:stria 10&#12297;
QV   

&#12296;:striae 12-13&#12297;
QVAD
",Wh? Whaat?,Latin,", qv  , , , qvad, "
"&#12296;:ad perpendiculum&#12297;
L(ucius) An[to]nius",Lucius Antonius,Latin,", lucius antonius"
"Sutores mavir[--]um&#803; quem 
Ca[se]lli&#768;us Anthah[--]m[--]m",,Latin,"sutores maviruṃ quem , casellìus anthahmm"
DV+M,(Series of letters),Latin,dvm
"&#12296;:ad perpendiculum&#12297;
Q(uintus) Antonius Magister","Quintus Antonius, teacher",Latin,", quintus antonius magister"
"[iamque omn]&#7865;s veicinei (:vicini) incendia participantur
[sei (:si) facia]m flammam tradere utei (:uti) liceat
",,Latin,"iamque omnẹs vicini incendia participantur, si faciam flammam tradere uti liceat, "
"&#12296;:ad perpendiculum&#12297;
Popiu(s)",Popiu(s) (short for Popidius?),Latin,", popius"
Augutus (:Augustus),Augu(s)tus,Latin,augustus
Acti CA C+ [- - -?],,Latin,acti ca c .
Stel&#803;io (:Stellio),Stellio,Latin,steḷstellio
Sall&#803;idus (:Calidius?) Ner(onianus) III,,Latin,salḷcalidius neronianus iii
victrix victoria v&#770;a(le),,Latin,victrix victoria v̂ale
"L(ucius)
Com(inius?)",L(ucius?) Com(inius?),Latin,"lucius, cominius"
SE,SE,Latin,se
"Macer
C(aius) Popillius","Macer, Gaius Popillius",Latin,"macer, caius popillius"
"Eucapa puer · va(le)
","Farewell, young (lit. boy) Eucapa",Latin,"eucapa puer · vale, "
Iarin[us],,Latin,iarinus
Pier,Pier (a name),Latin,pier
Fel(iciter) Faustio,May things go happily for Faustius,Latin,feliciter faustio
"&#12296;:stria 16&#12297;
C 
S
A

&#12296;:stria 17&#12297;
ER",(Individual letters),Latin,", c , s, a, , , er"
"socius
Ve&#7771;viciu(s)
SAV(?)","Ally, (...other letters here...)",Latin,"socius, veṛvicius, sav"
"((denarius)) XIIII A(ssibus) [- - -]
debes  
((denarius)) XLVII  XVI",,Latin,"denarius xiiii assibus tribus, debes , denarius xlvii xvi"
Urs(us),"Bear (or the beginning of a name, or just initials)",Latin,ursus
"Provi=
den&#770;tes
",Thoughtful (ones),Latin,"provi=, den̂tes, "
"Aug(ustalis?) Pier(us) C[ela?]dus
Papiri &#12296;:servum&#12297; Amandu[m---]um
medicavit","The Augustalis(?), Pier C(???)dus, cured Amandus (the slave?) of Papirius",Latin,"augustalis pierus celadus, papiri amandumum, medicavit"
"Pitamnus
Marc LI
","Pitamnus, Marc 51? (or Pitamnus, freedman of Marcius)",Latin,"pitamnus, marc li, "
"nec Phrygas (:Phryges)
extabant. Quid
agit apex
dester (:dexter)",Nor were the Phyrgians (visible? prominent? existing?). How's your right (apex?) doing?,Latin,"nec phryges, extabant. quid, agit apex, dexter"
"III nonas Augu(sti)
Calc[hi]mi oc
[ete]rate
in
",,Latin,"iii nonas augusti, calchimi oc, eterate, in, "
"Dorcas cum 
Sollemine (:Sollemne)
hic",Dorcas was here with Sollemnis,Latin,"dorcas cum , sollemne, hic"
[- - -]&#7807;i non paterus (:pateris) et nos futuere be[ne?---],,Latin,sedṿi non pateris et nos futuere bene
"VI K(alendas) Fe(lix?)
VII S I C I I I I","Six days before the Kalends Fe(lix?)
7 thus(?) 4(?)",Latin,"vi kalendas felix, vii s i c i i i i"
IRVAT (:irrumat?),(incomprehensible series of letters),Latin,irrumat
can&#770;t(icuere),They were silent (conticuere?),Latin,can̂ticuere
"Iusto feliciter et
&#12296;:vacat&#12297; Vetito (:Betito?) et MMVNI[---]
&#12296;:vacat&#12297; XIII K (:Kalendas) Dec&#949;mm (:Decembris) [---]
LICARIO filio &#12296;:vacat&#12297; [---] &#949;AVG
&#12296;:vacat&#12297; CATETVM++
&#12296;:vacat&#12297; I CNIAS","Good luck to Iustus and
forbidden and (incomprehensible series of letters)
13 days before the Kalends of December (=Nov. 18th)
for Licarius, the son (incomprehensible series of letters)
(incromprehensible series of letters)
(incomprehensible series of letters)",Latin,"iusto feliciter et, betito et mmvni, xiii kalendas decembris constantinopoli, licario filio , εavg, catetvm, i cnias"
Quintinus,,Latin,quintinus
Phosphor(us) tuis cores (:choreis) ASM[- - -],,Latin,phosphorus tuis choreis asm.
Victorie · A(---) · V(---),,Latin,victorie · a · v
"irrumo set (:sed) v+++K+++as
",,Latin,"irrumo sed vkas, "
Corusticus,,Latin,corusticus
Hyginus cum M&#7865;&#7779;sì&#7885; hic,,Latin,hyginus cum mẹṣsìọ hic
"Numeru(&#7779;)
CENTRV+ 
D(ecimus) Iulius 
T(h)r&#7841;[s]o(?)
Sacenio 
loco (?)
habeo 
P(ublius) +Iuilius
Trif&#803;olio 
C(ai) Fla&#770;vi 
libra(ri) 
C(ai) Flav(i) 
librari 
dom&#770;us
T(iti) Loli (:Lolli)
&#7841;ger 
emtu (:emptus) IIXS",A number of units (centuries). Decimus Iulius (...list of names follows...). Land was bought - 8 1/2.,Latin,"numeruṣ, centrv , decimus iulius , thrạso, sacenio , loco , habeo , publius iuilius, trif̣olio , cai flâvi , librari , cai flavi , librari , dom̂us, titi lolli, ạger , emptus iixs"
"Felices homines [+1?+] va(lete)
felices",,Latin,"felices homines 1 valete, felices"
"Victor cum Attine
hic fuit",,Latin,"victor cum attine, hic fuit"
IIIIIIIIIIIIIIIIII,18,Latin,iiiiiiiiiiiiiiiiii
"&#12296;:stria 7&#12297;
X

&#12296;:stria 12&#12297;
X 
R

&#12296;:stria 17&#12297;
S",(Individual letters),Latin,", x, , , x , r, , , s"
[---?] A&#818;urelius,Aurelius,Latin,. a̲urelius
Menedemerumenus,,Latin,menedemerumenus
"Ceio
et mul=
tis pupa
venust=
a",The girl was charming to Ceius and many (others),Latin,"ceio, et mul=, tis pupa, venust=, a"
Hermulus,Hermulus,Latin,hermulus
Fyl&#803;l&#803;is (:Phyllis) felat&#803; (:fellat),Fyllis (for Phyllis?) performs fellatio,Latin,fyḷḷphyllis felaṭ fellat
P&#7771;&#7883;&#7747;a,Prima,Latin,pṛịṃa
"Phoebus
bonus futor (:fututor)

",,Latin,"phoebus, bonus fututor, , "
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,
"Vit
Vitalio baliat (:valeat?) car (:carus?) est.
Musicus","May Vitalio be well. He is 
dear. Musicus.",Latin,"vit, vitalio valeat carus est., musicus"
[---? mira]bile signum Laurentis ru[ris?],,Latin, mirabile signum laurentis ruris
Aufidius hic fuit va(le),,Latin,aufidius hic fuit vale
COR  III,COR 3,Latin,cor iii
Felicla (:Felicula) virna (:verna) a(ssibus) II,"Felicula, home-born slave, (for) 2 asses",Latin,felicula verna assibus ii
"ROMA
OLIM
MILO
AMOR",,Latin,"roma, olim, milo, amor"
"Tiopilus (:Theophilus) canis
cunnu (:cunnum) lingere no=
li puellis in muro",,Latin,"theophilus canis, cunnum lingere no=, li puellis in muro"
"Iucundus fututor 


",,Latin,"iucundus fututor , , , "
"M
TB",M  TB,Latin,"m, tb"
"Quartio
Stratus
VEN
Qu++nitu 
M(arcus) Liciniu (:Licinius) 
Saturninus","Quartio, Stratus, VEN, (...other letters here...), Marcus Linciniu(s), Saturninus",Latin,"quartio, stratus, ven, qunitu , marcus licinius , saturninus"
"Rhenus
Rhinus (:Rhenus)
","Rhine
Rhine",Latin,"rhenus, rhenus, "
Mnester v&#770;a(le),,Latin,mnester v̂ale
Lucil(ius),Lucil(ius),Latin,lucilius
pedico V&#803;T&#803;R&#803; IIII&#803;V,I bugger (incomprehensible series of letters),Latin,pedico ṿṭṛ iiiịv
Lucanica IIII,,Latin,lucanica iiii
[- - -]X&#803;XXCCCCCXXVIXXV&#803;C LXXVL S DD CCC,425 25 175 250 800,Latin,dcx̣xxcccccxxvixxṿc lxxvl s dd ccc
"P(ublius) Siculus
Hermia",Publius Siculus Hermia,Latin,"publius siculus, hermia"
Menedemeru(menus),,Latin,menedemerumenus
"Myrtale
Cassacos
fellas",,Latin,"myrtale, cassacos, fellas"
"Ratio M(arci) Ugoni
pr(idie) (No)nas",Account of Marcus Ugonius - the day before the Nones,Latin,"ratio marci ugoni, pridie nonas"
"Domino V VI IIII
Domino V
Severo III
","To the master - 5, 6, 4
To the master - 5
To Severus - 3",Latin,"domino v vi iiii, domino v, severo iii, "
"XXXIIIIIIIIIIIIIII
III

&#12296;:pone hanc&#12297;
XXXXXIII
[--]IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII

&#12296;:inferius&#12297;
III&#769;IIIIIIIII&#769;I&#769;IIIIIIIIIIII &#12296;:vacat&#12297;IIIIIII

&#12296;:infra hanc&#12297;
XX XXXX&#803;
IIIIIIIIIIII","45
3

53
36

25  7

20 40
12",Latin,"xxxiiiiiiiiiiiiiii, iii, , , xxxxxiii, iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii, , , iiíiiiiiiiiííiiiiiiiiiiii iiiiiii, , , xx xxxx̣, iiiiiiiiiiii"
"L(ucius) Stati&#7909;s
Modestus 
Q(uintus) Postûmius","Lucius Statius, Modestus, Quintus Postumius (or Lucius Statius Modestus, Quintus Postumius)",Latin,"lucius statiụs, modestus , quintus postûmius"
"Haec fuerat quaesita dies innoxia famae
i[-]dicio sem
&#12296;:vacat&#12297;
&#12296;:vacat&#12297; pauca",,Latin,"haec fuerat quaesita dies innoxia famae, idicio sem, , pauca"
Fulgur [conditum ---?],Struck by lightning,Latin,fulgur conditum 
"M
Q
Q
Q",(Individual letters),Latin,"m, q, q, q"
"Mille meae
Siculis errant 
",My 1000 (lambs - not mentioned here) wander in the Sicilian...,Latin,"mille meae, siculis errant , "
"&#12296;:vacat&#12297;&#7746;o&#7693;(estus)
Modestus
Modestus
Musae
suae","Modestus, Modestus, Modestus, to his Muse",Latin,"ṃoḍestus, modestus, modestus, musae, suae"
Siiccia (:Siccia) X,(incomprehensible series of characters),Latin,siccia x
"RO++
R O
R
R SS
",(Series of letters),Latin,"ro, r o, r, r ss, "
"O HLO
âv(?)","Hi, Chloe(?)",Latin,"o hlo, âv"
"Matris 
Heleusinae (:Eleusinae)",Of the Eleusinian mother,Latin,"matris , eleusinae"
"M&#770;ân&#770;dât&#770;us 
M&#770;ân&#770;dat&#770;us
m&#770;ûnûs
<:vacat>
&#7840;
M 
M
","Mandatus, Mandatus, games?, A, M, M",Latin,"m̂ân̂dât̂us , m̂ân̂dat̂us, m̂ûnûs, , ạ, m , m, "
"XVII K(alendas) Iul(ias)
Hermeros
cum Phile=
tero et Caphi=
so hic futu=
erunt",,Latin,"xvii kalendas iulias, hermeros, cum phile=, tero et caphi=, so hic futu=, erunt"
Euce (:Euche) is(sa) (:ipsa),,Latin,euche issa ipsa
"&#12296;:stria 11&#12297;
((signum))

&#12296;:stria 13&#12297;
V 

&#12296;:stria 14&#12297;
M",(Individual letters),Latin,", signum, , , v , , , m"
"Dorcas
P&#818;r&#818;i&#818;m&#818;a&#818;","Dorcas, Prima",Latin,"dorcas, p̲r̲i̲m̲a̲"
"((:instrumentum gladiatorum, galea))

S++
sumit
AIVNTI  CV

((:instrumentum gladiatorum, thorax)) 
",,Latin,"instrumentum gladiatorum, galea, , s, sumit, aivnti cv, , instrumentum gladiatorum, thorax , "
con[ti]quere (:conticuere) omn(es),All fell silent...,Latin,conticonticuere omnes
Venimus hoc (:huc) cupidi. Scribitt (:scribit) Cornelius Martialis,We came here desiring...,Latin,venimus huc cupidi. scribit cornelius martialis
Crescens,Crescens,Latin,crescens
"[---]n ore ap(?)[---]
[---]sumat aut ea va[---]
[---]sumpti opus est a[---]
[---]udam eu ei(?)[---]VDAI[---]",,Latin,"un ore ap, autsumat aut ea vaeat, quaesumpti opus est a, secuudam eu ei^vdai."
"Caesia, sei (:si) n[---]
sei (:si) parvom (:parvum) p[---]
es, bibe lude[---]
nec semper[---]",,Latin,"caesia, si n., si parvum p., es, bibe ludediu, nec semper."
Restituta tuis chor&#7865;&#7883;[s],,Latin,restituta tuis chorẹịs
"Primi=
g&#803;en=
us (:Primigenius)

&#12296;:infra&#12297;
((:navis))

&#12296;:infra&#12297;
((:gladiator cum scuto longo, galea, et gladio))",Primigenius,Latin,"primi=, g̣en=, primigenius, , , navis, , , gladiator cum scuto longo, galea, et gladio"
Conticuere om(nes),,Latin,conticuere omnes
&#7945;r&#960;&#959;&#954;r&#8118;(&#962;) (:&#7945;&#961;&#960;&#959;&#954;&#961;&#8118;&#962;),,Latin/Greek,ἁrποκrᾶς ἁρποκρᾶς
"Successa vern(a) a(ssibus) V
bellis moribus
((:corona)) A P ((:palma))","Successa, with nice manners, ?",Latin,"successa verna assibus v, bellis moribus, corona a p palma"
"&#12296;:columna I&#12297;
Lite, es dypundi (:dupundi). 

&#12296;:columna II&#12297;
Lite, 
aeris a(ssis)",,Latin,", lite, es dupundi. , , , lite, , aeris assis"
"Froto (:Fronto) Planì
&#7735;ing&#803;it cun=
&#7751;um",,Latin,"fronto planì, ḷing̣it cun=, ṇum"
