content,contentTranslation,languageInEnglish,preprocessed
"VIII K(alendas) Martias
Numisii Genialis
gladiatorum paria X
Herculani","On the eighth day before the Kalends of March (= February 22), ten pairs of gladiators (sponsored by) Numisius Genialis (will fight) at Herculaneum",Latin,"viii kalendas martias, numisii genialis, gladiatorum paria x, herculani"
R&#7865;mmius Rufus,Remnius Rufus,Latin,rẹmmius rufus
F&#818;e&#818;licite&#803;r&#803; [P]ro&#803;c&#803;u&#803;l&#803;o&#803;,"Good luck, Proculus.",Latin,f̲e̲licitẹṛ prọc̣ụḷọ
"Anicete Paris, va(lete)","Goodbye, Anicetus (and) Paris.",Latin,"anicete paris, valete"
vol cum Marcello bona[---],If (...) with Marcellus good (...?),Latin,vol cum marcello bona.
"Col=
((denarius))
ono (:Colono)",A denarius to (for?) Colonus,Latin,"col=, denarius, colono"
"[- - -]cio s(alutem?) morieris Tomi.
Feliciter",(... other letters here...) you will die in Tomis. Good luck!,Latin,"mauricio salutem morieris tomi., feliciter"
"Nonis Iulis MVS[---]N M[---]N[---]
VIII[ Idus Iul]ias nata CV
Prid[ie Nonas?] Non[is? H]erclan (:Herculaneo?)  Nol(ae?)  Pomp[---]ans
&#12296;:vacat&#12297; CN I III","On the Nones of July (... damaged text here...). Eight days before the (...) was born. The day before the Nones and on the Nones (... damaged text here...) at Herculaneum, Nola, Pompeii... (...other text here).",Latin,"nonis iulis mvsin m.n., viii idus iulias nata cv, pridie nonas nonis hherculaneo nolae pomp.ans, cn i iii"
"XI K(alendas) pane factum
III Nonas pane factum
&#12314;III&#12315;","Eleven days before the Kalends, bread was made. Three days before the Nones, bread was made. Three",Latin,"xi kalendas pane factum, iii nonas pane factum, "
"&#12296;:columna I&#12297;
Branc
broc
trans
nus

&#12296;:columna II&#12297;
Nos=
ter 
tros 
men 

&#12296;:columna III&#12297;
Quod
quid
quae
quas

&#12296;:columna IV&#12297;
Rum
quis 
que
dem

&#12296;:columna V&#12297;
Con 
les
lis 
mu&#7735;

&#12296;:columna VI&#12297;
Mol
ma
me
mae",(Series of syllabus and words),Latin,", branc, broc, trans, nus, , , nos=, ter , tros , men , , , quod, quid, quae, quas, , , rum, quis , que, dem, , , con , les, lis , muḷ, , , mol, ma, me, mae"
IPIVS · VI · DV,(untranslatable series of letters),Latin,ipivs · vi · dv
Quam mita (?) vis (?) · Pastores ateque (:atque) · Caste monit erga pugiles (?).,"How soft is violence? Shepherds too. Chastely, he warns (him?) regarding the boxers.",Latin,quam mita vis · pastores atque · caste monit erga pugiles .
